counter,SenderResponse1a,SenderResponse1b,SenderResponse2a,SenderResponse2b,SenderResponse3a,SenderResponse3b,SenderResponse4a,SenderResponse4b,SenderResponse5a,SenderResponse5b,SenderResponse6a,SenderResponse6b,SenderResponse7a,SenderResponse7b,SenderResponse8a,SenderResponse8b,SenderResponse9a,SenderResponse9b,SenderResponse10a,SenderResponse10b,SenderResponse11a,SenderResponse11b
13,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
14,1000.0,1000.0,1000.0,1000.0,2.0,1000.0,1.0,42.0,1.0,10.0,2.0,1000.0,1.0,1000.0,2.0,1000.0,1000.0,1000.0,2.0,1000.0,1.0,1000.0
15,1.0,1000.0,2.0,21.0,1000.0,1000.0,2.0,1000.0,1000.0,1000.0,2.0,1000.0,1.0,54.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
16,1000.0,1000.0,2.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1.0,1000.0,2.0,3.0,1.0,99.0,1000.0,1000.0,2.0,15.0
17,1000.0,1000.0,1000.0,1000.0,2.0,93.0,1000.0,1000.0,1000.0,1000.0,1.0,36.0,1.0,1000.0,1000.0,1000.0,1000.0,1000.0,2.0,1000.0,1.0,27.0
18,2.0,67.0,2.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,2.0,56.0,2.0,1000.0,1000.0,1000.0
19,2.0,53.0,2.0,1000.0,1000.0,1000.0,1.0,1000.0,2.0,30.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1.0,75.0,1000.0,1000.0,1000.0,1000.0
20,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1.0,11.0,2.0,41.0,1000.0,1000.0,1.0,1000.0,2.0,1000.0,1.0,51.0,2.0,1000.0,2.0,1000.0
21,1000.0,1000.0,2.0,1000.0,2.0,1000.0,1000.0,1000.0,1.0,1000.0,1.0,1000.0,1000.0,1000.0,1000.0,1000.0,2.0,8.0,1.0,17.0,1000.0,1000.0
22,1.0,82.0,1000.0,1000.0,2.0,1000.0,1.0,42.0,1.0,99.0,1000.0,1000.0,1.0,1000.0,2.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
23,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,2.0,7.0,1.0,1000.0,1000.0,1000.0,1000.0,1000.0,1.0,56.0,2.0,76.0
24,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1.0,1000.0,1000.0,1000.0,1.0,1000.0,1000.0,1000.0,2.0,36.0,1.0,55.0,1000.0,1000.0
25,2.0,1000.0,1.0,28.0,1.0,21.0,1.0,1000.0,1000.0,1000.0,1000.0,1000.0,1.0,1000.0,2.0,1000.0,2.0,22.0,2.0,1000.0,2.0,1000.0
26,1000.0,1000.0,1000.0,1000.0,2.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1.0,18.0,2.0,1000.0,1000.0,1000.0,1000.0,1000.0,2.0,1000.0
27,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,2.0,71.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,2.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
28,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1.0,1000.0,1000.0,1000.0
29,1.0,1000.0,2.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1.0,1000.0,2.0,10.0,1000.0,1000.0,1000.0,1000.0,1.0,92.0
