counter,senderresponse1a,senderresponse1b,senderresponse2a,senderresponse2b,senderresponse3a,senderresponse3b,senderresponse4a,senderresponse4b,senderresponse5a,senderresponse5b,senderresponse6a,senderresponse6b,senderresponse7a,senderresponse7b,senderresponse8a,senderresponse8b,senderresponse9a,senderresponse9b,senderresponse10a,senderresponse10b,senderresponse11a,senderresponse11b
97,1,78,1,65,2,100,2,90,1,75,1,94,1,51,1,94,2,74,1,50,2,60
98,2,100,1,70,2,65,2,93,1,75,2,93,1,74,1,50,2,90,1000,1000,2,1000
99,1,69,2,1000,1000,1000,2,51,1000,1000,2,83,2,66,1,1000,1,94,1,100,2,1000
100,2,75,2,81,1,75,1000,1000,1,88,1000,1000,2,96,1000,1000,2,1000,2,50,2,1000
101,1,100,1,90,2,1000,2,80,2,55,2,1000,2,1000,1,100,1000,1000,1,95,1,80
102,1000,1000,1,58,1000,1000,1000,1000,2,74,1,100,1000,1000,1,80,1000,1000,1000,1000,1,1000
103,1,62,2,58,1000,1000,2,75,1,94,2,100,1,50,1,89,1,1000,2,73,1,1000
104,2,50,2,85,2,91,2,1000,2,1000,1,66,2,1000,2,1000,1,1000,1,79,1,100
105,1,50,1,99,2,1000,2,69,1,1000,1,83,1,1000,2,88,1,100,2,100,2,88
106,1,96,2,1000,2,100,1,1000,1,1000,1,74,1,84,1,95,1,94,1,82,1,73
107,2,1000,1,91,2,1000,2,1000,1000,1000,2,82,1,81,1,98,1,91,2,74,2,1000
108,1000,1000,2,88,2,95,1,89,2,100,1,65,1,99,1,75,2,63,1000,1000,2,1000
109,2,100,1000,1000,2,96,1000,1000,1,1000,1,91,1,88,1,83,1,100,2,1000,2,88
110,1,51,1,75,1,90,1000,1000,1,70,2,75,1,100,2,1000,2,86,2,76,2,90
111,2,100,2,1000,1,70,1,93,2,1000,2,100,1000,1000,1000,1000,1000,1000,1,90,1000,1000
112,2,89,1000,1000,2,70,1,61,1000,1000,1,83,2,83,1000,1000,1000,1000,2,1000,2,100
113,2,1000,2,100,2,77,2,64,1,65,2,1000,1,65,1,90,1000,1000,1,1000,1,74
114,1,100,2,100,1,1000,2,99,1,85,1000,1000,1,86,1,100,1,72,1,1000,2,97
115,2,69,1000,1000,1000,1000,2,1000,1,84,1,1000,1,1000,1000,1000,2,100,1,1000,2,89
116,2,100,2,90,2,1000,1000,1000,1000,1000,1,1000,1000,1000,1000,1000,1000,1000,1,100,1,1000
117,2,75,1,1000,1,52,1000,1000,1,100,1000,1000,1000,1000,1,95,2,1000,1000,1000,1000,1000
118,2,60,2,61,1,56,2,1000,1,60,2,100,1,56,1,84,1000,1000,1,1000,1,100
119,1000,1000,1,84,2,100,2,50,1,76,1000,1000,1000,1000,2,96,2,98,1000,1000,1000,1000
120,2,100,2,83,1000,1000,1000,1000,1,98,2,1000,1,50,1,88,2,88,1000,1000,1000,1000
121,1000,1000,1,60,1,50,1,1000,1000,1000,1,95,1,100,1000,1000,1,1000,1,51,2,1000
122,2,100,2,100,1000,1000,1,81,2,89,1000,1000,2,100,1,78,1,89,1,100,1,88
123,2,1000,1,67,2,50,1,92,1,95,1,99,1,1000,2,90,1,58,2,100,1,1000
124,1000,1000,2,85,1,100,1000,1000,1,100,2,67,2,100,1000,1000,1,91,2,65,2,50
125,1,50,2,1000,2,88,1000,1000,2,90,1,90,1,100,1,1000,2,100,1,1000,1,1000
